,ibns_20u,vgs_m1,name,type,time,OK
0,19.7432,0.6833083,tran_SchGtKttmmTtVt_29,Sch,Fri Jan 17 13:47:19 2025,True
1,18.11574,0.6799992,tran_SchGtKttmmTtVt_28,Sch,Fri Jan 17 13:47:19 2025,True
2,19.731399999999997,0.6846036,tran_SchGtKttmmTtVt_27,Sch,Fri Jan 17 13:47:19 2025,True
3,20.40657,0.6838691,tran_SchGtKttmmTtVt_26,Sch,Fri Jan 17 13:47:19 2025,True
4,19.89229,0.6820008,tran_SchGtKttmmTtVt_25,Sch,Fri Jan 17 13:47:18 2025,True
5,21.84167,0.6878439,tran_SchGtKttmmTtVt_24,Sch,Fri Jan 17 13:47:18 2025,True
6,19.60857,0.6831826,tran_SchGtKttmmTtVt_23,Sch,Fri Jan 17 13:47:18 2025,True
7,20.61066,0.6877183,tran_SchGtKttmmTtVt_22,Sch,Fri Jan 17 13:47:18 2025,True
8,20.75015,0.6851395,tran_SchGtKttmmTtVt_21,Sch,Fri Jan 17 13:47:17 2025,True
9,20.46321,0.6860773,tran_SchGtKttmmTtVt_20,Sch,Fri Jan 17 13:47:17 2025,True
10,21.75945,0.6883285,tran_SchGtKttmmTtVt_19,Sch,Fri Jan 17 13:47:17 2025,True
11,20.71538,0.6863293,tran_SchGtKttmmTtVt_18,Sch,Fri Jan 17 13:47:17 2025,True
12,21.52899,0.6896397,tran_SchGtKttmmTtVt_17,Sch,Fri Jan 17 13:47:17 2025,True
13,19.07558,0.6823046,tran_SchGtKttmmTtVt_16,Sch,Fri Jan 17 13:47:16 2025,True
14,19.559160000000002,0.6846475,tran_SchGtKttmmTtVt_15,Sch,Fri Jan 17 13:47:16 2025,True
15,20.59685,0.6848401,tran_SchGtKttmmTtVt_14,Sch,Fri Jan 17 13:47:16 2025,True
16,19.13145,0.6825598,tran_SchGtKttmmTtVt_13,Sch,Fri Jan 17 13:47:16 2025,True
17,20.56815,0.6847829,tran_SchGtKttmmTtVt_12,Sch,Fri Jan 17 13:47:16 2025,True
18,19.325090000000003,0.6810018,tran_SchGtKttmmTtVt_11,Sch,Fri Jan 17 13:47:16 2025,True
19,19.618190000000002,0.6848024,tran_SchGtKttmmTtVt_10,Sch,Fri Jan 17 13:47:16 2025,True
20,20.12482,0.6851405,tran_SchGtKttmmTtVt_9,Sch,Fri Jan 17 13:47:15 2025,True
21,20.46767,0.6842537,tran_SchGtKttmmTtVt_8,Sch,Fri Jan 17 13:47:15 2025,True
22,21.03444,0.6862902,tran_SchGtKttmmTtVt_7,Sch,Fri Jan 17 13:47:15 2025,True
23,19.96778,0.6839327,tran_SchGtKttmmTtVt_6,Sch,Fri Jan 17 13:47:15 2025,True
24,21.30202,0.6873539,tran_SchGtKttmmTtVt_5,Sch,Fri Jan 17 13:47:15 2025,True
25,20.7316,0.6868355,tran_SchGtKttmmTtVt_4,Sch,Fri Jan 17 13:47:15 2025,True
26,20.821569999999998,0.6859687,tran_SchGtKttmmTtVt_3,Sch,Fri Jan 17 13:47:15 2025,True
27,21.129830000000002,0.6861558,tran_SchGtKttmmTtVt_2,Sch,Fri Jan 17 13:47:15 2025,True
28,20.724429999999998,0.6870845,tran_SchGtKttmmTtVt_1,Sch,Fri Jan 17 13:47:14 2025,True
29,21.11374,0.6897901,tran_SchGtKttmmTtVt,Sch,Fri Jan 17 13:47:14 2025,True
